Table 1
;;;;;;;;
;An fiscal;Afaceri;"Profit
Net";Datorii;"Active
Imobilizate";"Active
Circulante";"Capitaluri
Proprii";"Angajați
(nr. mediu)"
;2024;0;0;403 081;9 463;156 862;-236 756;0
;2023;0;0;403 081;9 463;156 862;-236 756;0
;2022;0;0;403 081;9 463;156 862;-236 756;0
;2021;0;0;403 081;9 463;156 862;-236 756;0
;2020;0;0;403 081;9 463;156 862;-236 756;0
;2019;0;0;403 081;9 463;156 862;-236 756;0
;2018;0;0;403 081;9 463;156 862;-236 756;0
;2017;0;0;403 081;9 463;156 862;-236 756;0
;2016;0;0;403 081;9 463;156 862;-236 756;0
;2015;405 305;-9 839;403 081;9 463;156 862;-236 756;15
;2014;240 469;-228 925;377 943;12 117;138 909;-226 917;10
;2013;1 131 186;1 808;175 648;7 133;170 523;2 008;0
